"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Exposure","Outcome","Exposure_id","Outcome_id","Outcome_type"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Inverse variance weighted",191,0.000399736359124188,0.0627054947229148,0.994913662502204,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","MR Egger",292,-0.0890722406293974,0.113926958771571,0.434948593073822,"Hemoglobin","CKD_CKDGen","ebi-a-GCST90025969","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Weighted median",292,-0.0543670458211856,0.0815726498278953,0.505100378224147,"Hemoglobin","CKD_CKDGen","ebi-a-GCST90025969","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Simple mode",292,0.020174556131022,0.208499067201001,0.92298288613536,"Hemoglobin","CKD_CKDGen","ebi-a-GCST90025969","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Weighted mode",292,-0.0550255019613655,0.0821561782164748,0.503537389124922,"Hemoglobin","CKD_CKDGen","ebi-a-GCST90025969","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Inverse variance weighted",341,-0.0626579003031846,0.0667946833631404,0.348209886614621,"Hemoglobin","CKD_FinnGen","ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","MR Egger",341,0.109832473712824,0.128193595785699,0.392177042857161,"Hemoglobin","CKD_FinnGen","ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Weighted median",341,0.121368259045635,0.120863299965051,0.315292855288936,"Hemoglobin","CKD_FinnGen","ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Simple mode",341,0.288956552372246,0.275209390563244,0.294486060981651,"Hemoglobin","CKD_FinnGen","ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Weighted mode",341,0.236300065664007,0.136951634734881,0.0853591472096395,"Hemoglobin","CKD_FinnGen","ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Inverse variance weighted",277,-0.0533765346122215,0.05361325871212,0.319452021388362,"Neutrophil","CKD_CKDGen","ebi-a-GCST90025977","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","MR Egger",277,-0.154910588730873,0.111509273167058,0.165890599145115,"Neutrophil","CKD_CKDGen","ebi-a-GCST90025977","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Weighted median",277,-0.0195016168082214,0.0865745567579287,0.82177852352327,"Neutrophil","CKD_CKDGen","ebi-a-GCST90025977","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Simple mode",277,-0.28837960528277,0.187699634803318,0.12558863120425,"Neutrophil","CKD_CKDGen","ebi-a-GCST90025977","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Weighted mode",277,-0.0457918272044324,0.0977108419743168,0.63969238330511,"Neutrophil","CKD_CKDGen","ebi-a-GCST90025977","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Inverse variance weighted",317,0.00842262148462141,0.0694187424947931,0.903429140326682,"Neutrophil","CKD_FinnGen","ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","MR Egger",317,0.233200257813147,0.141028537293828,0.0992115224531412,"Neutrophil","CKD_FinnGen","ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Weighted median",317,0.101842941464442,0.108334091188659,0.347175442527781,"Neutrophil","CKD_FinnGen","ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Simple mode",317,0.276781182261519,0.296837230152179,0.351824049578676,"Neutrophil","CKD_FinnGen","ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Weighted mode",317,0.303665772226542,0.174169555504835,0.0822176995488283,"Neutrophil","CKD_FinnGen","ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Inverse variance weighted",321,-0.0674951655936455,0.043320813659122,0.11922592720732,"Lymphocyte","CKD_CKDGen","ebi-a-GCST90025984","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","MR Egger",321,0.0477601501498061,0.090175018777683,0.596731087611908,"Lymphocyte","CKD_CKDGen","ebi-a-GCST90025984","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Weighted median",321,-0.028573801335617,0.0691028832001118,0.679242875679668,"Lymphocyte","CKD_CKDGen","ebi-a-GCST90025984","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Simple mode",321,-0.194431586643131,0.163678700943566,0.235759373710819,"Lymphocyte","CKD_CKDGen","ebi-a-GCST90025984","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Weighted mode",321,-0.00560711749017173,0.0940083155615606,0.952475680079771,"Lymphocyte","CKD_CKDGen","ebi-a-GCST90025984","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Inverse variance weighted",377,-0.0295300273258189,0.0672210952845768,0.660446327949288,"Lymphocyte","CKD_FinnGen","ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","MR Egger",377,0.00838096604464277,0.139139656292252,0.952001193743489,"Lymphocyte","CKD_FinnGen","ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Weighted median",377,0.0775162975251728,0.10941725881616,0.478667891373134,"Lymphocyte","CKD_FinnGen","ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Simple mode",377,0.551463505738322,0.281576354134363,0.0509118686141562,"Lymphocyte","CKD_FinnGen","ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Weighted mode",377,0.192490714183956,0.139008966375841,0.166954340532329,"Lymphocyte","CKD_FinnGen","ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
